address,name,size,calls,called_by,decompiled
3ab8:0000,OVL_0000,667,5,0,1
3ab8:029b,FUN_3ab8_029b,668,2,0,1
3ab8:0537,FUN_3ab8_0537,54,2,2,1
3ab8:056d,FUN_3ab8_056d,19,2,1,1
3ab8:0591,FUN_3ab8_0591,160,3,2,1
3ab8:0631,FUN_3ab8_0631,17,2,2,1
3ab8:0642,FUN_3ab8_0642,264,3,2,1
3ab8:074a,FUN_3ab8_074a,912,7,1,1
3ab8:0ada,FUN_3ab8_0ada,4526,22,1,1
3ab8:263c,FUN_3ab8_263c,1021,6,0,1
3ab8:2a47,FUN_3ab8_2a47,944,7,2,1
3ab8:2df7,FUN_3ab8_2df7,1615,8,1,1
3ab8:3446,FUN_3ab8_3446,228,2,1,1
3ab8:352a,FUN_3ab8_352a,908,12,0,1
3ab8:38b6,FUN_3ab8_38b6,1535,9,1,1
3ab8:3eb5,FUN_3ab8_3eb5,1090,7,2,1
3ab8:42f7,FUN_3ab8_42f7,156,2,0,1
3ab8:4393,FUN_3ab8_4393,1853,13,0,1
3ab8:4c91,FUN_3ab8_4c91,505,4,1,1
3ab8:4fbd,FUN_3ab8_4fbd,484,7,2,1
3ab8:522f,FUN_3ab8_522f,420,6,2,1
3ab8:53e4,FUN_3ab8_53e4,6,0,1,1
3ab8:53ea,FUN_3ab8_53ea,3178,14,0,1
