address,name,size,calls,called_by,decompiled
1000:0042,FUN_1000_0042,60,2,0,1
1000:0082,FUN_1000_0082,71,2,2,1
1000:00cd,FUN_1000_00cd,57,2,3,1
1000:0106,FUN_1000_0106,57,2,3,1
1000:013f,FUN_1000_013f,306,4,17,1
1000:0271,FUN_1000_0271,295,4,18,1
1000:0398,FUN_1000_0398,87,1,14,1
1000:03ef,FUN_1000_03ef,87,1,11,1
1000:0446,FUN_1000_0446,24,1,1,1
1000:0718,FUN_1000_0718,221,8,1,1
1000:0806,caseD_0,5,0,0,1
1000:083a,thunk_FUN_12c1_072e,3,0,1,1
1000:0965,FUN_1000_0965,1,0,1,1
1000:0a81,FUN_1000_0a81,14,0,1,1
10ad:0004,FUN_10ad_0004,1029,9,2,1
10ad:0409,FUN_10ad_0409,221,1,3,1
10ad:04e6,FUN_10ad_04e6,567,9,2,1
10ad:071d,FUN_10ad_071d,86,1,2,1
10ad:0773,FUN_10ad_0773,775,16,4,1
10ad:0a7a,FUN_10ad_0a7a,297,8,2,1
10ad:0ba3,FUN_10ad_0ba3,380,12,2,1
10ad:0d1f,FUN_10ad_0d1f,550,13,1,1
10ad:0f45,FUN_10ad_0f45,790,26,1,1
10ad:1263,FUN_10ad_1263,162,2,0,1
10ad:1305,FUN_10ad_1305,646,14,0,1
10ad:158b,FUN_10ad_158b,329,8,1,1
10ad:16d4,FUN_10ad_16d4,2423,26,3,1
12c1:000a,FUN_12c1_000a,59,4,0,1
12c1:0045,FUN_12c1_0045,28,3,0,1
12c1:0061,FUN_12c1_0061,25,2,0,1
12c1:007a,FUN_12c1_007a,28,2,0,1
12c1:0096,FUN_12c1_0096,32,2,1,1
12c1:00b6,FUN_12c1_00b6,25,2,2,1
12c1:00cf,FUN_12c1_00cf,44,3,0,1
12c1:00fb,FUN_12c1_00fb,22,2,0,1
12c1:0111,FUN_12c1_0111,28,2,0,1
12c1:012d,FUN_12c1_012d,741,8,2,1
12c1:0412,FUN_12c1_0412,115,2,2,1
12c1:0485,FUN_12c1_0485,47,2,2,1
12c1:04b4,FUN_12c1_04b4,98,4,2,1
12c1:0516,FUN_12c1_0516,160,2,1,1
12c1:05b6,FUN_12c1_05b6,159,2,1,1
12c1:072e,FUN_12c1_072e,59,0,0,1
12c1:0900,FUN_12c1_0900,52,2,2,1
12c1:0934,FUN_12c1_0934,37,2,2,1
12c1:0959,FUN_12c1_0959,37,2,2,1
12c1:097e,FUN_12c1_097e,93,1,7,1
12c1:0e06,FUN_12c1_0e06,240,8,1,1
12c1:0fc3,FUN_12c1_0fc3,40,1,1,1
13bf:000c,FUN_13bf_000c,702,15,5,1
13bf:02ca,FUN_13bf_02ca,64,3,1,1
13bf:030a,FUN_13bf_030a,119,2,1,1
13bf:0381,FUN_13bf_0381,122,4,1,1
13bf:03fb,FUN_13bf_03fb,252,10,3,1
13bf:04f7,FUN_13bf_04f7,929,18,1,1
13bf:0898,FUN_13bf_0898,412,9,3,1
13bf:0a34,FUN_13bf_0a34,666,16,5,1
13bf:0cce,FUN_13bf_0cce,934,27,1,1
13bf:1074,FUN_13bf_1074,778,6,2,1
13bf:137e,FUN_13bf_137e,268,12,1,1
13bf:148a,FUN_13bf_148a,694,3,0,1
13bf:178a,FUN_13bf_178a,56,2,1,1
13bf:17c2,FUN_13bf_17c2,37,2,1,1
13bf:17e7,FUN_13bf_17e7,1075,5,2,1
13bf:1c1a,FUN_13bf_1c1a,114,2,2,1
13bf:1c8c,FUN_13bf_1c8c,1977,8,1,1
13bf:2445,FUN_13bf_2445,227,3,1,1
13bf:2528,FUN_13bf_2528,517,12,1,1
13bf:27e0,FUN_13bf_27e0,568,5,2,1
13bf:2a18,FUN_13bf_2a18,5138,59,3,1
17a6:000a,FUN_17a6_000a,92,4,1,1
17a6:0066,FUN_17a6_0066,171,4,0,1
17a6:0111,FUN_17a6_0111,51,2,0,1
17a6:0144,FUN_17a6_0144,68,2,0,1
17a6:0188,FUN_17a6_0188,435,2,0,1
17a6:033b,FUN_17a6_033b,503,6,1,1
17a6:0532,FUN_17a6_0532,119,5,1,1
17a6:05a9,FUN_17a6_05a9,140,4,1,1
17a6:0635,FUN_17a6_0635,380,11,2,1
17a6:07b1,FUN_17a6_07b1,730,12,0,1
17a6:0a8b,FUN_17a6_0a8b,602,9,0,1
17a6:0ce5,FUN_17a6_0ce5,270,11,0,1
1885:0004,FUN_1885_0004,143,2,2,1
1885:0093,FUN_1885_0093,374,15,0,1
1885:0209,FUN_1885_0209,116,5,3,1
1885:027d,FUN_1885_027d,2098,35,2,1
1885:0ab4,FUN_1885_0ab4,1305,14,1,1
1885:100d,FUN_1885_100d,108,2,1,1
1885:1079,FUN_1885_1079,259,12,1,1
1885:117c,FUN_1885_117c,199,7,2,1
1885:1243,FUN_1885_1243,1072,11,1,1
1885:1673,FUN_1885_1673,1151,20,1,1
1885:1b55,FUN_1885_1b55,919,12,1,1
1885:1ef7,FUN_1885_1ef7,36,3,2,1
1885:1f1b,FUN_1885_1f1b,46,3,16,1
1885:1f49,FUN_1885_1f49,44,3,28,1
1885:1f75,FUN_1885_1f75,58,8,1,1
1885:1faf,FUN_1885_1faf,182,2,2,1
1885:2065,FUN_1885_2065,118,6,1,1
1885:20db,FUN_1885_20db,180,3,1,1
1885:218f,FUN_1885_218f,539,11,1,1
1885:23aa,FUN_1885_23aa,26,3,5,1
1885:23c4,FUN_1885_23c4,80,4,5,1
1885:2414,FUN_1885_2414,1396,24,9,1
1885:2988,FUN_1885_2988,539,10,7,1
1885:2ba3,FUN_1885_2ba3,402,8,2,1
1885:2d35,FUN_1885_2d35,357,4,2,1
1885:2e9a,FUN_1885_2e9a,1222,17,6,1
1885:3364,FUN_1885_3364,468,11,2,1
1885:3543,FUN_1885_3543,260,2,2,1
1885:3647,FUN_1885_3647,229,3,2,1
1885:372c,FUN_1885_372c,215,2,1,1
1885:3803,FUN_1885_3803,749,12,3,1
1885:3af0,FUN_1885_3af0,20,2,10,1
1885:3b04,FUN_1885_3b04,8,1,3,1
1885:3b0c,FUN_1885_3b0c,110,3,2,1
1885:3b7a,FUN_1885_3b7a,53,5,14,1
1885:3baf,FUN_1885_3baf,75,3,0,1
1885:3bfa,FUN_1885_3bfa,49,2,0,1
1885:3c2b,FUN_1885_3c2b,73,2,2,1
1885:3c74,FUN_1885_3c74,322,9,4,1
1885:3db6,FUN_1885_3db6,168,2,1,1
1885:3e5e,FUN_1885_3e5e,91,2,1,1
1885:3eb9,FUN_1885_3eb9,208,2,1,1
1885:3f89,FUN_1885_3f89,240,2,1,1
1885:4079,FUN_1885_4079,246,2,1,1
1885:416f,FUN_1885_416f,183,2,1,1
1885:4226,FUN_1885_4226,384,11,2,1
1885:43a6,FUN_1885_43a6,2085,24,1,1
1885:4bcb,FUN_1885_4bcb,824,13,1,1
1885:4f03,FUN_1885_4f03,801,11,1,1
1885:5224,FUN_1885_5224,50,2,2,1
1885:5256,FUN_1885_5256,136,3,43,1
1885:52de,FUN_1885_52de,41,2,1,1
1885:5307,FUN_1885_5307,27,2,8,1
1885:532a,FUN_1885_532a,271,3,5,1
1885:5439,FUN_1885_5439,52,3,1,1
1885:546d,FUN_1885_546d,537,6,14,1
1885:5686,FUN_1885_5686,26,1,0,1
1def:0000,FUN_1def_0000,88,2,9,1
1def:0058,FUN_1def_0058,28,2,1,1
1def:0074,FUN_1def_0074,46,5,0,1
1def:00a2,FUN_1def_00a2,390,15,0,1
1def:0228,FUN_1def_0228,3490,33,2,1
1def:0fca,FUN_1def_0fca,740,15,1,1
1def:12ae,FUN_1def_12ae,58,2,13,1
1def:12e8,FUN_1def_12e8,243,3,12,1
1def:13db,FUN_1def_13db,8,1,5,1
1def:13e3,FUN_1def_13e3,56,3,1,1
1def:141b,FUN_1def_141b,8,1,0,1
1def:1423,FUN_1def_1423,61,2,5,1
1def:1460,FUN_1def_1460,140,4,25,1
1def:1691,FUN_1def_1691,298,11,5,1
1def:17bb,FUN_1def_17bb,1780,19,5,1
1def:1eaf,FUN_1def_1eaf,1302,16,4,1
1def:23c5,FUN_1def_23c5,562,7,38,1
1def:25f7,FUN_1def_25f7,63,4,1,1
1def:2636,FUN_1def_2636,115,2,21,1
1def:26a9,FUN_1def_26a9,109,2,31,1
1def:2716,FUN_1def_2716,8,1,0,1
1def:271e,FUN_1def_271e,18,2,2,1
1def:2730,FUN_1def_2730,18,2,5,1
1def:2742,FUN_1def_2742,230,3,5,1
1def:2828,FUN_1def_2828,290,10,3,1
1def:294a,FUN_1def_294a,299,10,0,1
1def:2a75,FUN_1def_2a75,299,10,0,1
20a9:0034,FUN_20a9_0034,42,2,2,1
20a9:005e,FUN_20a9_005e,52,2,1,1
20a9:0092,FUN_20a9_0092,66,2,1,1
20a9:00d4,FUN_20a9_00d4,54,2,0,1
20a9:010a,FUN_20a9_010a,68,2,1,1
20a9:014e,FUN_20a9_014e,316,7,1,1
20a9:028a,FUN_20a9_028a,223,7,1,1
20a9:0369,FUN_20a9_0369,60,1,1,1
20a9:03a5,FUN_20a9_03a5,30,1,3,1
20a9:03c3,FUN_20a9_03c3,30,1,1,1
20a9:03e1,FUN_20a9_03e1,128,5,1,1
20a9:0461,FUN_20a9_0461,64,1,1,1
20a9:04a1,FUN_20a9_04a1,25,1,0,1
20a9:04ba,FUN_20a9_04ba,141,6,1,1
20a9:0547,FUN_20a9_0547,98,5,0,1
20a9:05a9,FUN_20a9_05a9,42,2,0,1
20a9:05d3,FUN_20a9_05d3,245,4,2,1
20a9:06c8,FUN_20a9_06c8,58,3,1,1
20a9:0702,FUN_20a9_0702,48,2,5,1
20a9:0732,FUN_20a9_0732,42,1,5,1
20a9:075c,FUN_20a9_075c,96,4,2,1
20a9:07bc,FUN_20a9_07bc,32,3,0,1
20a9:07dc,FUN_20a9_07dc,527,5,2,1
20a9:0ac5,FUN_20a9_0ac5,458,7,1,1
20a9:0c8f,FUN_20a9_0c8f,112,0,1,1
20a9:0cff,FUN_20a9_0cff,12,0,1,1
20a9:0d0b,FUN_20a9_0d0b,15,2,1,1
20a9:0d1a,FUN_20a9_0d1a,254,2,1,1
20a9:0e18,FUN_20a9_0e18,1668,15,2,1
21f2:000c,FUN_21f2_000c,129,2,1,1
21f2:00e4,FUN_21f2_00e4,52,5,0,1
21f2:0118,FUN_21f2_0118,180,7,1,1
21f2:01cc,FUN_21f2_01cc,269,9,1,1
21f2:02d9,FUN_21f2_02d9,57,2,1,1
21f2:0312,FUN_21f2_0312,68,2,0,1
21f2:0356,FUN_21f2_0356,203,4,24,1
21f2:0421,FUN_21f2_0421,51,2,0,1
21f2:0454,FUN_21f2_0454,132,9,0,1
21f2:04d8,FUN_21f2_04d8,209,7,1,1
21f2:05a9,FUN_21f2_05a9,215,7,1,1
21f2:0680,FUN_21f2_0680,81,2,8,1
21f2:06d1,FUN_21f2_06d1,75,2,14,1
21f2:071c,FUN_21f2_071c,106,5,2,1
21f2:0786,FUN_21f2_0786,84,2,1,1
21f2:07da,FUN_21f2_07da,84,2,1,1
21f2:082e,FUN_21f2_082e,117,2,1,1
21f2:08a3,FUN_21f2_08a3,114,2,1,1
21f2:0915,FUN_21f2_0915,433,8,0,1
21f2:0ac6,FUN_21f2_0ac6,355,6,0,1
21f2:0c29,FUN_21f2_0c29,48,4,0,1
21f2:0c59,FUN_21f2_0c59,64,1,1,1
21f2:0c99,FUN_21f2_0c99,60,1,0,1
21f2:0cd5,FUN_21f2_0cd5,64,1,1,1
21f2:0d15,FUN_21f2_0d15,60,1,0,1
21f2:0d51,FUN_21f2_0d51,22,1,0,1
21f2:0d67,FUN_21f2_0d67,37,2,1,1
21f2:0d8c,FUN_21f2_0d8c,158,3,1,1
21f2:0e6e,FUN_21f2_0e6e,165,6,1,1
