image,offset,overlay,target
root,0038,28,0ef4
root,0078,28,0ef4
root,00c3,28,0ef4
root,045c,28,0156
root,0512,28,355f
root,051d,8,2fe2
root,0522,28,1068
root,052e,28,3e40
root,0612,28,1305
root,06bc,6,46bc
root,06d2,28,5b8f
root,079d,8,25e4
root,07f8,11,24d3
root,0809,1,4cb7
root,0834,23,0c0d
root,083f,23,40f7
root,086b,7,1237
root,08ba,2,2514
root,0905,2,008b
root,0910,4,3167
root,0918,17,0727
root,0943,14,0000
root,096e,4,4a19
root,0999,4,680d
root,09a4,15,6467
root,09ac,27,206c
root,09b7,29,1a9b
root,09c5,11,305f
root,09cd,9,0041
root,09d5,22,4794
root,09dd,20,313c
root,09e5,20,5aa0
root,09ed,20,45ea
root,09f5,13,1b7c
root,0a20,26,6136
root,0a2e,27,740f
root,0a35,24,263c
root,0a3d,31,7eec
root,0a45,15,6228
root,0a4d,17,7a02
root,0a55,28,0b91
root,0a60,22,0fa0
root,0a69,12,0be9
root,0a71,12,184b
root,0a79,28,2e82
root,1b41,6,46bc
root,1c68,2,6713
root,23ce,8,0c3b
root,2420,8,160d
root,24b6,22,0fa0
root,5137,2,2514
root,5183,2,2514
root,51b4,15,2e67
root,51d7,11,325e
root,520b,15,33ee
root,5231,14,0000
root,527e,15,481c
root,52a1,26,6136
root,52cb,14,0000
root,52ea,29,0e61
root,5315,15,33ee
root,5334,15,6467
root,5358,15,2de5
root,620f,25,2804
root,623a,8,0278
root,6659,30,402a
root,6a01,30,402a
root,6c55,12,2791
root,700e,22,0fa0
root,7161,28,258e
root,717d,28,273f
root,79df,22,028d
root,7a29,22,0000
root,9088,29,0000
root,96f9,8,2f0b
root,9f48,30,196a
root,a02a,22,00ee
root,a065,22,028d
root,a213,30,118d
root,a225,30,196a
root,a5b6,30,118d
root,a5cc,30,14f2
root,b714,12,1127
root,bc76,6,3230
root,11f7c,8,2fe2
root,11fd2,8,2fe2
root,13156,15,7a35
root,131e0,15,00e1
root,133ac,15,795e
root,137a6,15,78c8
root,13831,15,78c8
root,13d58,28,43b1
root,14f53,2,6713
root,1866c,28,43b1
root,1b124,28,43b1
root,1ea52,6,3230
root,1f02e,28,43b1
ovl01,0085,28,43b1
ovl01,4e7a,5,2a3d
ovl01,4ec0,5,2a3d
ovl01,4ef8,5,2a3d
ovl01,4f34,5,2a3d
ovl01,508c,5,2a3d
ovl01,51b6,5,008a
ovl01,584a,5,008a
ovl01,5b8e,8,0278
ovl01,5fa1,15,0d67
ovl01,6024,8,0278
ovl01,6131,5,008a
ovl01,6ef7,5,008a
ovl01,6f59,5,008a
ovl01,7437,5,0000
ovl02,27e3,17,5be3
ovl03,0329,6,304b
ovl03,04e3,35,1e64
ovl03,4d2c,6,304b
ovl03,4d9d,28,4124
ovl03,5033,12,1127
ovl03,5169,12,1127
ovl03,7561,30,5de1
ovl03,7859,6,304b
ovl03,7872,6,304b
ovl03,78c4,30,5fb5
ovl03,78e8,6,0d70
ovl04,186e,5,2a3d
ovl04,1a46,5,2a3d
ovl04,2824,25,3481
ovl04,51e6,8,0278
ovl06,17d1,28,258e
ovl06,23ba,12,1127
ovl06,24d2,12,1127
ovl06,26ff,12,1127
ovl06,27e5,12,1127
ovl06,284a,12,1127
ovl06,2d30,12,1127
ovl06,2df4,12,1127
ovl06,2f97,12,1127
ovl06,30ed,25,2581
ovl06,317d,12,1127
ovl06,318d,12,1127
ovl06,42cd,8,3890
ovl06,48bd,28,4124
ovl06,494f,28,43b1
ovl06,582b,28,006b
ovl06,594a,12,1127
ovl06,5977,8,3890
ovl06,6837,36,31df
ovl06,69a0,22,50da
ovl06,6a92,22,50da
ovl06,6eb7,22,50da
ovl06,70ba,25,2581
ovl06,70e4,8,2129
ovl06,712b,22,50da
ovl06,7878,16,0000
ovl06,8084,25,2581
ovl07,1018,24,38b6
ovl07,230e,24,42f7
ovl07,38f6,24,3eb5
ovl07,3ad7,5,2a3d
ovl07,4747,5,2a3d
ovl07,4fec,24,3eb5
ovl08,04cd,30,0000
ovl08,0650,30,0000
ovl08,1890,28,485d
ovl08,1978,28,4c20
ovl08,1ad6,12,1127
ovl08,1ea4,30,402a
ovl08,1ef0,28,485d
ovl08,1f40,28,2e7a
ovl08,209f,28,2e7a
ovl08,20ed,28,4c20
ovl08,2158,6,3230
ovl08,2178,28,102a
ovl08,2182,28,102a
ovl08,21bb,28,1068
ovl08,21c0,28,3e40
ovl08,2209,6,46bc
ovl08,24ae,6,304b
ovl08,3e34,6,3230
ovl08,4122,6,3230
ovl08,4725,25,4df5
ovl08,4818,6,46bc
ovl08,4bef,6,3f21
ovl08,4f59,6,3f21
ovl08,4fc9,6,46bc
ovl09,005d,10,2523
ovl09,028d,5,2a3d
ovl09,30a0,8,0278
ovl09,34ee,5,2a3d
ovl10,09dd,28,43b1
ovl11,1c73,12,1127
ovl11,1f3f,12,1127
ovl11,27ac,5,2a3d
ovl11,27f0,5,2a3d
ovl11,2834,5,2a3d
ovl11,288f,5,2a3d
ovl11,2938,14,38fa
ovl11,29aa,8,2129
ovl11,29d7,6,3230
ovl11,29ec,8,1eb4
ovl11,2a01,8,1eb4
ovl11,2a6d,12,17cd
ovl11,2c12,27,740f
ovl11,2c2f,12,17cd
ovl11,2c38,3,74b4
ovl11,2eea,6,304b
ovl11,2f4b,8,1eb4
ovl11,2fe0,6,46bc
ovl11,31e8,1,4cb7
ovl11,322d,26,5824
ovl11,323c,32,207b
ovl11,36a6,6,3230
ovl12,0150,27,206c
ovl12,048c,14,0000
ovl12,060c,2,008b
ovl12,0684,2,2514
ovl12,06f9,23,0c0d
ovl12,076a,4,4a19
ovl12,07af,4,680d
ovl12,0810,23,0c0d
ovl12,0881,4,4a19
ovl12,08c6,4,680d
ovl12,0953,7,1237
ovl12,0992,23,40f7
ovl12,199d,28,0000
ovl12,1c6e,11,24d3
ovl12,1cb2,1,4cb7
ovl12,1cec,23,0c0d
ovl12,1cfa,23,40f7
ovl12,1d25,7,1237
ovl12,1d74,2,2514
ovl12,1dc3,2,008b
ovl12,1dca,4,3167
ovl12,1dd2,17,0727
ovl12,1dfd,14,0000
ovl12,1e28,4,4a19
ovl12,1e53,4,680d
ovl12,1e63,15,6467
ovl12,1e70,27,206c
ovl12,1e80,29,1a9b
ovl12,1e9a,11,305f
ovl12,1ea2,9,0041
ovl12,1eaa,22,4794
ovl12,1eb2,20,313c
ovl12,1eba,20,5aa0
ovl12,1ec2,20,45ea
ovl12,1eca,13,1b7c
ovl12,1ef5,26,6136
ovl12,1f00,27,740f
ovl12,1f08,24,263c
ovl12,1f1e,31,7eec
ovl12,1f2a,15,6228
ovl12,1f31,17,7a02
ovl12,1f3d,28,0b91
ovl12,1fc4,8,25e4
ovl12,275d,22,028d
ovl12,282b,8,0278
ovl12,2e10,22,00ee
ovl12,2e2d,30,196a
ovl12,2fc0,30,118d
ovl12,2fea,30,196a
ovl12,3174,22,0000
ovl12,319b,30,14f2
ovl12,3331,30,118d
ovl13,1c03,23,5f8f
ovl14,0243,17,5be3
ovl15,3049,18,854f
ovl15,421e,8,0278
ovl15,4bc8,5,2a3d
ovl15,5a29,32,0000
ovl15,5a7d,8,2129
ovl15,5c3a,32,049e
ovl15,5c5b,6,304b
ovl15,5cfc,6,304b
ovl15,6350,25,393b
ovl15,65f6,8,0278
ovl15,75ec,24,029b
ovl15,7715,12,1127
ovl16,086b,28,43b1
ovl16,2b88,17,84d6
ovl16,2bc5,17,85a6
ovl16,2bf4,17,7ea0
ovl16,2c79,8,2129
ovl16,33b3,17,869f
ovl16,33ef,17,8777
ovl16,386c,17,898b
ovl16,6da3,17,7ea0
ovl16,6db8,17,7ea0
ovl16,6e21,8,2129
ovl16,74d9,17,8a37
ovl16,79db,17,83aa
ovl16,7a9d,17,885f
ovl16,7b45,8,0278
ovl17,0509,6,46bc
ovl17,5874,5,2a3d
ovl17,59cd,6,3230
ovl17,5a4f,24,0000
ovl17,5a61,30,51c5
ovl17,6bc4,6,3230
ovl17,7a35,16,2245
ovl17,7a44,16,5bf5
ovl17,7bee,30,2947
ovl17,7bfa,30,3328
ovl17,7c0c,33,4cdb
ovl17,7c17,28,6032
ovl17,7c22,8,245e
ovl17,7c30,35,5c55
ovl17,801e,16,0000
ovl17,8287,6,7994
ovl18,3eb0,19,356c
ovl18,85c2,5,2a3d
ovl19,034e,8,2129
ovl19,15bf,8,371f
ovl19,16a6,12,1127
ovl19,16dc,32,0277
ovl19,1db4,10,288b
ovl19,20e9,8,2129
ovl19,239e,8,3c9e
ovl19,2485,10,288b
ovl19,295d,10,020e
ovl19,299a,18,3b5a
ovl19,29d0,8,2129
ovl19,2b2e,10,020e
ovl19,2b6c,18,3b5a
ovl19,2ba2,8,2129
ovl19,2dec,18,3b5a
ovl19,2e22,8,2129
ovl19,2f90,10,020e
ovl19,300d,18,3b5a
ovl19,3101,8,3a89
ovl19,312e,8,3a89
ovl19,3138,6,46bc
ovl19,3145,6,46bc
ovl19,31fa,8,0162
ovl19,34e3,6,304b
ovl19,353a,6,3f21
ovl19,37a7,18,0eb3
ovl19,3942,18,0eb3
ovl20,2318,24,352a
ovl20,52b8,24,2df7
ovl20,609a,27,011a
ovl20,6c6b,24,4393
ovl20,6ca0,27,00b8
ovl20,6da8,27,00e2
ovl20,6f0d,27,006b
ovl20,6f1b,27,0000
ovl20,71af,27,0615
ovl20,77da,27,5ff8
ovl20,79a0,27,597f
ovl20,7a5e,27,597f
